N-1 --> N,Probability,x,experiment
low awareness and low confidence --> low success,0.11734693877551021,0,pos
low awareness and low confidence --> low success,0.37244897959183676,0,pos
low awareness and low confidence --> low success,0.20238095238095238,0,pos
low awareness and low confidence --> low success,0.13095238095238096,0,pos
low awareness and low confidence --> low success,0.24319727891156462,0,pos
low awareness and low confidence --> low success,0.18877551020408162,0,pos
low awareness and low confidence --> low success,0.32142857142857145,0,pos
low awareness and low confidence --> low success,0.08333333333333333,0,pos
low awareness and low confidence --> low success,0.445578231292517,0,pos
low awareness and low confidence --> low success,0.21598639455782312,0,pos
low awareness and low confidence --> low success,0.3520408163265306,0,pos
low awareness and low confidence --> low success,0.13435374149659865,0,pos
low awareness and low confidence --> low success,0.1870748299319728,0,pos
low awareness and low confidence --> low success,0.24149659863945577,0,pos
low awareness and low confidence --> low success,0.16666666666666666,0,pos
high awareness and low confidence --> low success,0.2261904761904762,0,pos
high awareness and low confidence --> low success,0.20238095238095238,0,pos
high awareness and low confidence --> low success,0.23979591836734693,0,pos
high awareness and low confidence --> low success,0.0391156462585034,0,pos
high awareness and low confidence --> low success,0.07142857142857142,0,pos
high awareness and low confidence --> low success,0.1649659863945578,0,pos
high awareness and low confidence --> low success,0.0935374149659864,0,pos
high awareness and low confidence --> low success,0.0017006802721088435,0,pos
high awareness and low confidence --> low success,0.08163265306122448,0,pos
high awareness and low confidence --> low success,0.1598639455782313,0,pos
high awareness and low confidence --> low success,0.027210884353741496,0,pos
high awareness and low confidence --> low success,0.08673469387755102,0,pos
high awareness and low confidence --> low success,0.17517006802721088,0,pos
high awareness and low confidence --> low success,0.0782312925170068,0,pos
high awareness and low confidence --> low success,0.04931972789115646,0,pos
high awareness and high confidence --> low success,0.12074829931972789,0,pos
high awareness and high confidence --> low success,0.10034013605442177,0,pos
high awareness and high confidence --> low success,0.11394557823129252,0,pos
high awareness and high confidence --> low success,0.11054421768707483,0,pos
high awareness and high confidence --> low success,0.18197278911564627,0,pos
high awareness and high confidence --> low success,0.01870748299319728,0,pos
high awareness and high confidence --> low success,0.11224489795918367,0,pos
high awareness and high confidence --> low success,0.01870748299319728,0,pos
high awareness and high confidence --> low success,0.05612244897959184,0,pos
high awareness and high confidence --> low success,0.0782312925170068,0,pos
high awareness and high confidence --> low success,0.02040816326530612,0,pos
high awareness and high confidence --> low success,0.027210884353741496,0,pos
high awareness and high confidence --> low success,0.03231292517006803,0,pos
high awareness and high confidence --> low success,0.10374149659863946,0,pos
high awareness and high confidence --> low success,0.04081632653061224,0,pos
low awareness and high confidence --> low success,0.03571428571428571,0,pos
low awareness and high confidence --> low success,0.10204081632653061,0,pos
low awareness and high confidence --> low success,0.07653061224489796,0,pos
low awareness and high confidence --> low success,0.05272108843537415,0,pos
low awareness and high confidence --> low success,0.04421768707482993,0,pos
low awareness and high confidence --> low success,0.08163265306122448,0,pos
low awareness and high confidence --> low success,0.11054421768707483,0,pos
low awareness and high confidence --> low success,0.11394557823129252,0,pos
low awareness and high confidence --> low success,0.10884353741496598,0,pos
low awareness and high confidence --> low success,0.05102040816326531,0,pos
low awareness and high confidence --> low success,0.15816326530612246,0,pos
low awareness and high confidence --> low success,0.06972789115646258,0,pos
low awareness and high confidence --> low success,0.05612244897959184,0,pos
low awareness and high confidence --> low success,0.04081632653061224,0,pos
low awareness and high confidence --> low success,0.06292517006802721,0,pos
high awareness and high confidence --> high success,0.23979591836734693,0,pos
high awareness and high confidence --> high success,0.14625850340136054,0,pos
high awareness and high confidence --> high success,0.06802721088435375,0,pos
