N-1 --> N,Probability,x,experiment
low awareness and high confidence --> low attention,0.015306122448979591,0,att
low awareness and high confidence --> low attention,0.15476190476190477,0,att
low awareness and high confidence --> low attention,0.02040816326530612,0,att
low awareness and high confidence --> low attention,0.13435374149659865,0,att
low awareness and high confidence --> low attention,0.15816326530612246,0,att
low awareness and high confidence --> low attention,0.09183673469387756,0,att
low awareness and high confidence --> low attention,0.1292517006802721,0,att
low awareness and high confidence --> low attention,0.08843537414965986,0,att
low awareness and high confidence --> low attention,0.10374149659863946,0,att
low awareness and high confidence --> low attention,0.32653061224489793,0,att
low awareness and high confidence --> low attention,0.14795918367346939,0,att
low awareness and high confidence --> low attention,0.043993231810490696,0,att
low awareness and high confidence --> low attention,0.20918367346938777,0,att
low awareness and high confidence --> low attention,0.07653061224489796,0,att
low awareness and high confidence --> low attention,0.06972789115646258,0,att
low awareness and high confidence --> low attention,0.034013605442176874,0,att
high awareness and low confidence --> low attention,0.09013605442176871,0,att
high awareness and low confidence --> low attention,0.20578231292517007,0,att
high awareness and low confidence --> low attention,0.141156462585034,0,att
high awareness and low confidence --> low attention,0.061224489795918366,0,att
high awareness and low confidence --> low attention,0.008503401360544218,0,att
high awareness and low confidence --> low attention,0.11054421768707483,0,att
high awareness and low confidence --> low attention,0.027210884353741496,0,att
high awareness and low confidence --> low attention,0.027210884353741496,0,att
high awareness and low confidence --> low attention,0.11394557823129252,0,att
high awareness and low confidence --> low attention,0.015306122448979591,0,att
high awareness and low confidence --> low attention,0.05102040816326531,0,att
high awareness and low confidence --> low attention,0.11505922165820642,0,att
high awareness and low confidence --> low attention,0.08843537414965986,0,att
high awareness and low confidence --> low attention,0.25,0,att
high awareness and low confidence --> low attention,0.025510204081632654,0,att
high awareness and low confidence --> low attention,0.08843537414965986,0,att
high awareness and low confidence --> high attention,0.06802721088435375,0,att
high awareness and low confidence --> high attention,0.1717687074829932,0,att
high awareness and low confidence --> high attention,0.15816326530612246,0,att
high awareness and low confidence --> high attention,0.04931972789115646,0,att
high awareness and low confidence --> high attention,0.008503401360544218,0,att
high awareness and low confidence --> high attention,0.12755102040816327,0,att
high awareness and low confidence --> high attention,0.00510204081632653,0,att
high awareness and low confidence --> high attention,0.017006802721088437,0,att
high awareness and low confidence --> high attention,0.10884353741496598,0,att
high awareness and low confidence --> high attention,0.00510204081632653,0,att
high awareness and low confidence --> high attention,0.03571428571428571,0,att
high awareness and low confidence --> high attention,0.09306260575296109,0,att
high awareness and low confidence --> high attention,0.08163265306122448,0,att
high awareness and low confidence --> high attention,0.08843537414965986,0,att
high awareness and low confidence --> high attention,0.02891156462585034,0,att
high awareness and low confidence --> high attention,0.05782312925170068,0,att
low awareness and low confidence --> high attention,0.05442176870748299,0,att
low awareness and low confidence --> high attention,0.011904761904761904,0,att
low awareness and low confidence --> high attention,0.24149659863945577,0,att
low awareness and low confidence --> high attention,0.14795918367346939,0,att
low awareness and low confidence --> high attention,0.1292517006802721,0,att
low awareness and low confidence --> high attention,0.0935374149659864,0,att
low awareness and low confidence --> high attention,0.14625850340136054,0,att
low awareness and low confidence --> high attention,0.3112244897959184,0,att
low awareness and low confidence --> high attention,0.15136054421768708,0,att
low awareness and low confidence --> high attention,0.09013605442176871,0,att
low awareness and low confidence --> high attention,0.20578231292517007,0,att
low awareness and low confidence --> high attention,0.1793570219966159,0,att
low awareness and low confidence --> high attention,0.09523809523809523,0,att
low awareness and low confidence --> high attention,0.18197278911564627,0,att
low awareness and low confidence --> high attention,0.27040816326530615,0,att
low awareness and low confidence --> high attention,0.2261904761904762,0,att
low awareness and low confidence --> low attention,0.1598639455782313,0,att
low awareness and low confidence --> low attention,0.011904761904761904,0,att
low awareness and low confidence --> low attention,0.29931972789115646,0,att
